song_id,title,persona,label,status,engine,suno_url,suno_prompt,bpm,key,duration_seconds,structure_tags,created_date,gated_date,released_date,archived_date,isrc,distrokid_id,bandcamp_id,cover_path,cover_1x1_path,cover_16x9_path,cover_9x16_path,video_short_path,video_square_path,video_full_path,canvas_path,lyric_video_path,royalty_graph_id,attestation_hash,ai_disclosure_metadata,vocal_consent_doc_path,notes,audio_path,beatgrid_path,ledger_id,work_id,take_id,master_id,primary_artist,canonical_slug,revision,master_audio_path,streaming_audio_url
EXAMPLE_frank-riemer_20260501_threshold,Threshold,frank-riemer,frank-riemer,draft,suno-v5,https://suno.com/song/EXAMPLE,"neo-classical solo piano, contemplative, dynamic-range-protected, 84 BPM, evening journaling, sus chord palette, no vocal, [Intro] [Verse] [Chorus] [Bridge] [Outro]",84,Em,272,[Intro] [Verse] [Chorus] [Bridge] [Outro],2026-05-01,,,,,,,,,,,,,,,,,,AI-generated via Suno v5; AI-cover via nano banana 2; no vocal,,Example seed row — replace before Phase 1 first real intake
franks-vibes_20260529_the-awakening,The Awakening,Lumen,franks-vibes,released,suno-v5,https://suno.com/song/8374d2ad-9142-4900-9028-a1e805688407,"African percussion, mass female choir, uplifting gospel energy, world music rhythm, warm low-end, 104 BPM, stereo wide",104,C#m,117,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-70004,DK626137,,,,,,,,,,,RG-franks-vibes_20260529_the-awakening,SIP_ATTEST_v8_83M39JKF,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Top-performing legacy track. Extremely popular for brand/motivation syncs.
franks-vibes_20260529_vibe-o-s,Vibe O S,Lumen,franks-vibes,released,suno-v5,https://suno.com/song/9cbad174-9276-427f-9aed-1ba00c7db3db,"lo-fi hip hop, warm Rhodes chords, deep sub-bass 808, intimate female rap, sweeping violin staccato, 92 BPM, sunset chill",92,Gm,240,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-38681,DK618934,,,,,,,,,,,RG-franks-vibes_20260529_vibe-o-s,SIP_ATTEST_v8_CHHWD3E0,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Signature track for Vibe OS product soundtrack. Pristine organic-electronic blend.
nona_20260529_golden-age-of-intelligence,Golden Age of Intelligence,Drift-01,nona,released,suno-v5,https://suno.com/song/d1ad41a9-9239-454d-bc2c-a187f42ac30b,"heavy metalcore guitar riffs, EDM drop synth, dual hip hop vocal exchange, aggressive 808 bass, massive energy, 128 BPM",128,Em,155,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-93986,DK934861,,,,,,,,,,,RG-nona_20260529_golden-age-of-intelligence,SIP_ATTEST_v8_GPDUR3UI,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Featured showcase track for the Golden Age book homepage.
arcanea_20260529_lumina,Lumina,Alera,arcanea,released,suno-v5,https://suno.com/song/1fc13c04-a7b3-427d-bff0-cac92ee524ae,"mythic symphonic rock, cathedral choir register, Dolby Atmos stereo width, slow dramatic build, epic guitar leads, 78 BPM",78,Am,253,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-58161,DK205832,,,,,,,,,,,RG-arcanea_20260529_lumina,SIP_ATTEST_v8_TH13ZT76,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Pinnacle mythic track for the Arcanea lore database.
nona_20260529_starlight-delight-remastered,Starlight Delight (Remastered),Drift-01,nona,released,suno-v5,https://suno.com/song/2d33b5c5-94b1-418b-8bc8-26d77e12dc92,"high energy liquid drum and bass, pop chord progressions, rolling basslines, punchy transient drums, female vocals, 174 BPM",174,Fm,179,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-74013,DK611970,,,,,,,,,,,RG-nona_20260529_starlight-delight-remastered,SIP_ATTEST_v8_WZGD3GW5,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Signature high-energy track for Starlight Intelligence promo clips.
nona_20260529_trust-in-yourself,Trust in Yourself,Drift-01,nona,released,suno-v5,https://suno.com/song/66572f21-2682-41f3-9051-86446e9b9bd7,"pop punk energetic guitars, symphonic string pads, heavy trap 808 bass, anthemic choruses, female lead vocal, 145 BPM",145,C,139,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-22688,DK508148,,,,,,,,,,,RG-nona_20260529_trust-in-yourself,SIP_ATTEST_v8_WAHRLAV4,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Highly motivating anthem. Massive likes on Suno profile.
arcanea_20260529_arcanea-light-me-up-remastered,Arcanea (light me up) (Remastered),Alera,arcanea,released,suno-v5,https://suno.com/song/9ff8a563-4ebf-4481-85c1-9f445cfce9e1,"soulful pop rock, intimate female lead, ethereal backing choirs, warm analog synth, soaring electric guitar leads, 88 BPM",88,D,188,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-90674,DK508240,,,,,,,,,,,RG-arcanea_20260529_arcanea-light-me-up-remastered,SIP_ATTEST_v8_TETZRYLD,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Core canon track for the Arcanea world-building showcase.
franks-vibes_20260529_i-feel-the-vibe,I Feel the Vibe,Lumen,franks-vibes,released,suno-v5,https://suno.com/song/f4a7a0e3-5689-4f47-8100-792a73034b54,"female rap, warm chill-electronic rhodes chords, deep sub-bass groove, crisp snaps, positive lifestyle energy, 90 BPM",90,F#m,154,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-96351,DK587859,,,,,,,,,,,RG-franks-vibes_20260529_i-feel-the-vibe,SIP_ATTEST_v8_LV0ADBSH,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Lifestyle/brand content reuse background.
nona_20260529_art-of-soulful-living,Art Of Soulful Living,Drift-01,nona,released,suno-v5,https://suno.com/song/3faa6621-9edb-441f-9ba9-279be2716bba,"alternative rock guitars, high-speed drum and bass rhythm, synthesizers, anthemic lead vocal, energetic motivation, 168 BPM",168,Em,224,"[Intro]
[Verse]
[Chorus]
[Outro]",2026-05-29,2026-05-29,2026-05-29,,US-AR1-26-42654,DK116684,,,,,,,,,,,RG-nona_20260529_art-of-soulful-living,SIP_ATTEST_v8_KGJRE3I6,AI-generated audio via Suno v5; CC-BY-NC-licensed Arcanea Records release.,,Grounded in workout/focus context.
