"domain","decision_question","evidence_to_request","minimum_pass_condition","red_flag","owner","stage"
"Member job","Which repeated member outcome must the platform make easier?","Interview synthesis, proposed member journey, and one measurable success event","One primary job is supported end to end without custom work","The decision is driven by a feature list or visual preference","Founder","Before demo"
"Activation","Can a new member reach first value in one session?","Live walkthrough using a blank test account and a timed activation script","The critical path is understandable, instrumentable, and under ten minutes","Activation requires staff intervention or undocumented workarounds","Product","Demo"
"Core loop","Can the product express the weekly behavior that creates retention?","A configured prototype using the real content, roles, and member journey","The loop can run for a 90-day cohort without a bespoke application","The vendor proposes roadmap promises for the central behavior","Product","Pilot design"
"Information architecture","Can spaces, courses, groups, roles, and permissions match the intended operating model?","Configured sandbox and a written map of limits, nesting, and role inheritance","The intended model fits without duplicating people or content","Critical structure depends on naming hacks or manual duplication","Community lead","Demo"
"Visual system","Which interface elements can be changed without vendor services?","Theme documentation, CSS limits, component inventory, and a branded sandbox","Typography, color, domain, navigation, and key landing surfaces meet the launch bar","White label means only removing a vendor logo","Design","Demo"
"Custom UI","Can one critical journey be replaced or embedded?","Headless, SDK, extension, embed, or custom-page documentation with a working sample","The differentiating journey has a supported implementation path and stable identity handoff","Custom work depends on DOM injection or an undocumented private endpoint","Engineering","Technical spike"
"Identity","Who is the canonical identity provider and how are duplicate accounts resolved?","SSO docs, identity schema, merge flow, account deletion flow, and sandbox test","Stable external IDs, documented merge behavior, and reversible SSO setup","Email address is the only durable key or merges require vendor support","Engineering","Technical spike"
"Entitlements","How do payment status, cohort, role, and content access combine?","Entitlement model, webhook events, failure modes, and test cases","Access changes are deterministic, auditable, and recover after delayed payment events","Staff must repair access manually or roles silently override purchases","Engineering","Technical spike"
"Member export","Can every member and profile field be exported without vendor services?","A real export from the sandbox, schema documentation, and API pagination test","Stable IDs, timestamps, consent fields, roles, and custom fields are present","Only names and email addresses are exportable","Data","Before contract"
"Content export","Can posts, comments, courses, files, events, and moderation history leave intact?","Sample full export including relationships, attachments, authorship, and timestamps","Content retains IDs, hierarchy, authorship, media links, and timestamps","Export is a visual PDF, flat feed, or paid professional-service promise","Data","Before contract"
"Relationship export","Can follows, groups, cohorts, referrals, reputation, and progress be reconstructed?","Relationship tables or API responses plus an import/rebuild plan","The community graph and learning state can be rebuilt with documented keys","Only content and contacts are portable","Data","Before contract"
"Payment portability","Can subscriptions move without forcing members to repurchase?","Processor ownership, customer IDs, subscription export, and migration procedure","The creator owns the Stripe account or has a documented token-migration path","The vendor is merchant of record with no supported subscription transition","Finance","Before contract"
"API coverage","Does the public API cover the objects needed for the 90-day plan?","Current API reference, scopes, pagination, rate limits, changelog, and sandbox token","Every required read and write is documented, scoped, and tested","Sales promises API access but no reference or test credentials exist","Engineering","Technical spike"
"Webhooks","Are critical events complete, signed, ordered, retryable, and replayable?","Event catalog, signature docs, retry policy, idempotency guidance, and failure simulation","Critical events are signed, uniquely identified, and recoverable after downtime","Fire-and-forget webhooks have no replay or event IDs","Engineering","Technical spike"
"MCP","Is the MCP server operational or only documentation and marketing?","Official tool list, authentication model, scopes, quotas, audit behavior, and live test","Tools expose the required objects with least privilege and clear approval boundaries","A generic integration logo or code tutorial is presented as live account access","AI lead","Technical spike"
"AI writes","Which AI actions can create, edit, message, moderate, or delete?","Tool-level permission matrix, approval settings, audit log, and rollback demonstration","Consequential writes can require human approval and are attributable and reversible","One admin credential grants every agent unrestricted write access","Security","Technical spike"
"AI data use","Is customer or member content used to train vendor or third-party models?","DPA, subprocessors, model-provider terms, retention settings, and opt-out controls","Training is off by contract, retention is bounded, and sensitive fields can be excluded","The vendor cannot identify model providers or retention behavior","Privacy","Before contract"
"Search privacy","Can AI search avoid exposing private groups or restricted courses?","Permission-aware retrieval test across at least three roles","Retrieval enforces source permissions before results reach the model","The model filters results only after retrieving unrestricted content","Security","Technical spike"
"Auditability","Can staff answer who did what, when, and through which automation?","Audit-log export showing human, API, webhook, and AI actions","Critical actions carry actor, timestamp, object, request, and outcome","Automation activity is indistinguishable from an administrator","Security","Before contract"
"Native app model","Is mobile shared, branded, or truly customer-owned?","Live store listings, contract language, release process, and reference customer call","The exact operating model and dependencies are explicit","A responsive website or PWA is described as a native white-label app","Product","Before contract"
"Store accounts","Who owns Apple and Google developer accounts, bundle IDs, signing keys, and listings?","Screenshare of account setup plus contract schedule for every asset","Customer accounts and transferable identifiers are used, or exit rights are explicit","The vendor controls the listing and offers no transfer mechanism","Legal","Before contract"
"Mobile releases","How quickly are urgent fixes and OS updates shipped?","Release SLA, maintenance history, rejection process, and last twelve release dates","Critical fixes have a defined SLA and normal releases have a predictable cadence","App updates require a new quote or wait for a pooled release train","Engineering","Before contract"
"In-app purchase","How do App Store rules affect memberships and pricing?","Approved purchase flow, entitlement architecture, and fee model by country","The flow is policy-compliant and unit economics remain viable","The vendor recommends hiding or bypassing platform payment rules","Legal","Before contract"
