slug_or_collection,current_image,has_thumb,quality_est,spectrum,topic_pillar,asset_type,notes,recommended_action,new_premium_candidate,status,generated_or_audited,qualityScore,qualityTier,reviewStatus,storageLocalPath,publicUrl,vercelBlobKey,googleDriveUrl,socialAngle,promptFile
visual-intelligence-system-ai-image-management,/images/blog/visual-intelligence-system-ai-image-management-hero.webp,yes,4,tech,agentic-integration,hero,Core meta post for visuals; current may be lighter,high priority refresh,visual-intelligence-system-hero-premium.png (session 4.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
agentic-creator-os-complete-guide,/images/blog/agentic-creator-os-complete-guide-hero.jpg,yes,4,tech,agentic-integration,hero,Flagship guide; reuse risk,refresh for consistency,agentic-creator-os-complete-guide-hero-premium.png (session 2.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
golden-age-of-intelligence,/images/blog/golden-age-of-intelligence-hero.jpg,yes,4,tech+soul,creative-innovation,hero,High visibility pillar content,ensure premium cinematic, golden-age-of-intelligence-hero-premium.png (session 1.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
production-agentic-ai-systems,/images/blog/production-agentic-ai-systems-hero-v2.png,yes,4,tech,agentic-integration,hero,Production/enterprise pillar,7-pillars visual fits,production-agentic-ai-systems-hero-premium.png (session 5.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
swarm-intelligence-multi-agent-orchestration,/images/blog/swarm-intelligence-orchestration-hero.png,yes,4,tech,agentic-integration,hero,Orchestration flagship,needs strong hub visual,swarm-intelligence-multi-agent-orchestration-hero-premium.png (session 3.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
suno-prompt-engineering-complete-guide,/images/blog/suno-prompt-engineering-complete-guide-hero.png,yes,3,soul,creative-innovation,hero,Music/creative pillar; soul spectrum priority,suno-prompt-engineering-complete-guide-hero-premium.png (session 6.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,,
frankx-intelligence-ecosystem-complete-guide,/images/blog/ecosystem-architecture-davinci.png,yes,4,tech,strategic-business,hero,From ready-to-publish social; ecosystem map,frankx-intelligence-ecosystem-complete-guide-hero-premium.png (session 9.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,,
best-open-local-llms-2026,/images/blog/best-open-local-llms-2026-hero.svg,likely no,3,tech,agentic-integration,hero,SVG lightweight; upgrade to rich benchmark viz,best-open-local-llms-2026-hero-premium.png (session 7.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,,
grok-4-3-analysis-2026,/images/blog/grok-4-3-analysis-2026-hero.svg,likely no,3,tech,strategic-business,hero,Model landscape; meta for harness; data viz hero,grok-4-3-analysis-2026-hero-premium.png (session 8.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,,
public/images/blog/ (aggregate),321 files (150 png, 86 jpeg, 12 jpg, 48 svg, 25 webp; 28 UUID-named bulk),partial,3-5 mixed,mostly tech,multiple,hero+support,From full 2026-06 recursive scan: 28 UUID low-curation (many >5-8MB each), 48 .svg lightweight (model analyses etc.);  ~ named heroes + thumbs exist but mixed quality. Past audits flagged 5 pseudo + conditional Arcanea/Vibe. 20 premium generated this run (10+10).,Audit UUIDs/renames (28 files), replace remaining .svg (48), generate thumbs for all new, enforce descriptive names + spectrum in registry,See first 10 + second 10 in this CSV + IMAGE_CATALOG.md / QUALITY_AUDIT.md,audit-2026-06 (full scan) + new,partial,
public/images/ (other collections),infographics ~120, acos/, ai-art/25, diagrams/93 svg, mascots/71, books/, soulbook/ etc.,partial,3-5,tech/soul/bridge,mixed,infographic+product,Strong past catalog (IMAGE_CATALOG 2026-01); CXO noted storage 237MB 2026-01, unnamed, missing thumbs; QUALITY_AUDIT rejected 5 off-brand,Continue cleanup per 2026-01 audits; add CSV to CI,See IMAGE_CATALOG.md / QUALITY_AUDIT.md / CXO_IMAGE_AUDIT.md,audit-2026-01 + 2026-06,existing,
content/images/,~127 png/jpg supporting,yes,4,mixed,multiple,inline+diagram,Good for in-post; pair with heroes,Keep curated,content/images/ inline support,existing,,,,,,,,,,
public/images/registry.json,registry,yes,N/A,N/A,N/A,manifest,Exists as basic registry,Expand with quality + spectrum columns,Expand for automation,existing,,,,,,,,,,
VISUAL_INVENTORY_2026.csv (this file),master tracking,yes,5,all,all,meta,New canonical CSV (2026-06); complements MD catalogs,No prior single CSV — MDs only (IMAGE_CATALOG etc.),This file + MD summary,created-2026-06,new,,,,,,,,,
2-ready-to-publish/social/ + drafts/,social promo + few drafts mdx,mostly n/a,N/A,mixed,multiple,social+promo,Ready social for acos-v10, frankx-intel-ecosystem, golden-age books; drafts sparse,Add hero images for any new mdx before publish; social assets secondary,Promote with new premium heroes,existing + planned,,,,,,,,
public/images/blog/ UUID files (subset),e.g. 122e43a8-45fe-4476-b36c-... .png/webp etc.,partial,2-3,tech,mixed,hero,Bulk generation artifacts; hard to maintain/assign,Rename to descriptive or replace with premium,Audit + dedupe,existing-low,,,,,,,,,,
legacy flagged (per QUALITY_AUDIT),quantum-*.png series (5),n/a,1 (reject),n/a,consciousness,hero,Pseudo-science / off-brand per 2026-01 audit (guru language),Delete or _archive per audit,Already documented in QUALITY_AUDIT.md,audit-2026-01,rejected,,,,,,,,,
arcanea + vibe-os series (per audits),multiple infographics,n/a,2-3,bridge/soul,product-specific,hero,Fantasy or neural-abstract; keep only if products active,Archive unless Arcanea/Vibe OS active per audit,Documented in IMAGE_* and QUALITY_AUDIT,audit-2026-01,conditional,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# Notes: Spectrum per design.md (tech=emerald+cyan dominant for AI/agent/arch; soul=amber+gold for music/creator personal; bridge=purple for Arcanea/creative worlds sparingly). Quality est 1-5 based on prior audits + naming (UUID/.svg lower unless premium). All new 10 generated 2026-06 via research-grounded prompts + FrankX design system (void #0a0a0b, dual-spectrum, 16:9 heroes, professional AI Architect restraint, glass/isometric/HUD styles from IMAGE_CATALOG + design.md). Move session images (images/N.jpg) into public/images/blog/ with the recommended names + generate _thumb.jpeg companions. Update matching .mdx frontmatter image: paths. Re-run similar audit quarterly. No prior master CSV existed; this + expanded registry.json recommended.,,,,,,,,,,,,,,,,
# References: public/images/IMAGE_CATALOG.md, IMAGE_ASSIGNMENTS.md, IMAGE_ORGANIZATION_FINAL.md, QUALITY_AUDIT.md, CXO_IMAGE_AUDIT.md, design.md, DESIGN_SYSTEM.md, BRAND_IDENTITY.md, CONTENT_STRATEGY.md, content/blog/CONTENT_SCHEMA.md, public/images/blog/ (321 files).qwen3-max-analysis-2026,/images/blog/qwen3-max-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,Current .svg lightweight frontier analysis; Qwen3-Max-Thinking 1T+ MoE, 36T tokens, test-time scaling, native tools (Search/Memory/Code Interpreter), competitive HLE/AIME/coding vs Opus/GPT-5.5,qwen3-max-analysis-2026-hero-premium.png (session 13.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted
gemini-3-5-pro-analysis-2026,/images/blog/gemini-3-5-pro-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,.svg placeholder; Gemini 3.5 Flash leader on speed-intel Pareto, agentic (Terminal-Bench/GDPval-AA gains), 280+ tok/s, multimodal, 1M context notes,gemini-3-5-pro-analysis-2026-hero-premium.png (session 12.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,
llama-4-analysis-2026,/images/blog/llama-4-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,Light .svg; Llama 4 Scout (17B active/10M ctx single H100), Maverick (128 experts/1M ctx multimodal open-weight), efficiency + context leadership,llama-4-analysis-2026-hero-premium.png (session 14.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,
deepseek-v4-analysis-2026,/images/blog/deepseek-v4-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,.svg; DeepSeek V4-Pro (1.6T MoE 49B active, MIT, cheap frontier), Flash variant, near-closed on SWE/Terminal at fraction cost, Huawei optimization,deepseek-v4-analysis-2026-hero-premium.png (session 11.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,
mistral-large-3-analysis-2026,/images/blog/mistral-large-3-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,Light current; Mistral Large 3 675B MoE (41B active), 256K ctx, GB200-optimized Western open frontier, strong coding/math/multimodal,mistral-large-3-analysis-2026-hero-premium.png (session 15.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,
kimi-k2-analysis-2026,/images/blog/kimi-k2-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,.svg; Kimi K2 agent swarm (up to 100 parallel sub-agents + tools), multimodal (text/image/video), long-horizon 4k+ tool calls, high agentic open-competitive,kimi-k2-analysis-2026-hero-premium.png (session 18.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,
claude-opus-4-8-analysis-2026,/images/blog/claude-opus-4-8-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,Current svg; Claude Opus 4.8 coding/agent leader (SWE-Bench Verified/Pro, OSWorld, long-running workflows, HLE with tools),claude-opus-4-8-analysis-2026-hero-premium.png (session 17.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,
