id,artifact_or_url,owner_or_creator,captured_at_utc,rights_state,observed_principle,allowed_intended_use
S01,https://frankx.ai/,FrankX,2026-08-30,owned-or-generated-source,"Obsidian foundation; emerald action; restrained cinematic hierarchy; founder authority","Current-state truth and production baseline"
S02,../../../taste.md,FrankX,2026-08-30,owned-or-generated-source,"Dark-first; Poppins/Inter/JetBrains Mono; one serif tell; one earned motion set-piece; mobile recomposition","Binding production taste contract"
S03,https://www.canva.dev/docs/mcp/,Canva,2026-08-30,reference-only,"MCP exposes design creation/editing, asset and brand management, library search, export, and commenting","Product-truth labels and direct citation only"
S04,https://www.canva.dev/docs/connect/guidelines/brand/,Canva,2026-08-30,licensed-production,"Use icon below 50px; script logo above 50px; preserve clearspace; avoid implied endorsement","Govern exact official mark placement under Canva terms"
S05,https://www.canva.com/help/canva-affiliate-marketing-program/,Canva,2026-08-30,reference-only,"Canvassador is the current affiliate-benefit pathway and applications are closed","Truthful commercial disclosure; no active-affiliate claim"
S06,https://reactflow.dev/,xyflow / webkid GmbH,2026-08-30,reference-only,"Node-based diagrams can be keyboard operable and explain technical workflows","Interaction and accessibility principle only; production uses installed library under its license"
S07,https://reactflow.dev/examples,xyflow / webkid GmbH,2026-08-30,reference-only,"Official examples distinguish MIT examples from React Flow Pro material","Use only public library primitives; do not copy Pro compositions"
S08,https://vercel.com/docs/ai-sdk,Vercel,2026-08-30,reference-only,"Technical product pages lead with a clear primitive and implementation path","Information hierarchy principle only"
S09,https://vercel.com/customers/how-flora-shipped-a-creative-agent-on-vercels-ai-stack,Vercel / FLORA,2026-08-30,reference-only,"A creative-agent story is credible when process, orchestration, and infrastructure form one system","Case-study proof structure only; no copied composition or wording"
S10,../../../public/brand/canva/canva-icon.svg,Canva,2026-08-30,licensed-production,"Official icon asset for sub-50px integration entry points","Production node only, unchanged, with required clearspace and link context"
S11,direction-a-operating-graph.svg,FrankX + OpenAI Codex,2026-08-30,owned-or-generated-source,"Architecture itself becomes the navigable proof","Selected production direction"
S12,direction-b-creator-workbench.svg,FrankX + OpenAI Codex,2026-08-30,owned-or-generated-source,"Output artifacts establish a working-studio posture","Preserved alternative; principles may inform later artifact sections"
S13,direction-c-editorial-field-manual.svg,FrankX + OpenAI Codex,2026-08-30,owned-or-generated-source,"Visible sources and field notes build trust","Preserved alternative; principles may inform article treatment"
