slug,title,date,publish_status,author,category,featured,agent_hint,last_git_author,last_git_date,last_git_subject,hero_path_final,header_class,image_file_exists,vs_hero,vs_infographic,prompt_used,visual_review_status,content_review_status,word_count,images_in_article,body_svg_count,internal_link_count,seo_completeness_6,priority_score,action_needed,description,file
08-golden-age-of-intelligence,The Golden Age of Intelligence: Flagship Atlas for Agentic Marketing Teams,2025-09-19,published_tree,Frank,Flagship,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/golden-age-of-intelligence-hero-v8.jpg,raster_other,True,,,,pass_heuristic,not_recorded,13975,0,0,0,4,20,audit_content_accuracy,"A 15,000-word masterwork that fuses SEO strategy, agentic operations, and automation to anchor FrankX.ai as the definitive intelligence partner for high-velocity creators and enterprises.",08-golden-age-of-intelligence.mdx
_drafts/higher-self-protocol-part-2-reading-slowly,Reading Slowly With a Machine: AI-Assisted Lectio Divina for Any Tradition,DRAFT,draft,Frank,Creativity,,unknown,,,,,missing,False,,,,fail_missing_hero,not_recorded,282,0,0,0,4,20,draft_complete_or_archive,"How to use AI to read a sacred text the way it was meant to be read — slowly, one phrase at a time, asking real questions. The prompt patterns for lectio divina, the Dhammapada, and Marcus Aurelius.",_drafts/higher-self-protocol-part-2-reading-slowly.mdx
_drafts/higher-self-protocol-part-3-attention-gym,"The Attention Gym: Training the Mind With AI, the Buddha, and the Stoics",DRAFT,draft,Frank,Creativity,,unknown,,,,,missing,False,,,,fail_missing_hero,not_recorded,240,0,0,0,4,20,draft_complete_or_archive,"Attention is the whole game — the Buddhists and Stoics knew it 2,000 years ago. How to use AI as a mirror for the mind without letting it become another thing that fragments your focus.",_drafts/higher-self-protocol-part-3-attention-gym.mdx
_drafts/higher-self-protocol-part-4-help-a-friend,How to Help a Friend Become a Saint (and Maybe a Million People),DRAFT,draft,Frank,Flagship,,unknown,,,,,missing,False,,,,fail_missing_hero,not_recorded,248,0,0,0,4,20,draft_complete_or_archive,"The friend who started this series wants to become a saint. Here's the actual playbook — a shareable practice protocol, built so it scales to a million people without getting weird or culty.",_drafts/higher-self-protocol-part-4-help-a-friend.mdx
agentic-seo-publishing-masterplan,Agentic SEO Publishing Masterplan: 12-Day Accelerator from September 19,2024-09-19,published_tree,Frank,Flagship,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/agentic-seo-publishing-masterplan-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,14803,0,0,0,4,20,audit_content_accuracy,"Build a 15,000-word intelligence system that fuses Google's latest search dynamics with agentic AI production pipelines. This masterplan orchestrates the next twelve days of publishing, from flagship ",agentic-seo-publishing-masterplan.mdx
claude-opus-4-8-analysis-2026,Claude Opus 4.8: A Modest Bump That Quietly Tops the Leaderboard,2026-06-05,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-07-08 01:11:35 +0200,feat(learn): excellence pass — freshness dates + deepen the SEO interlink graph (#246),/images/blog/claude-opus-4-8-analysis-2026-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,2899,0,0,3,6,20,audit_content_accuracy,"Anthropic's Opus 4.8 lands 41 days after 4.7 with the same $5/$25 pricing, SWE-Bench Pro 69.2%, GDPval-AA 1890, dynamic workflows, and cheaper fast mode. Technical breakdown with verified benchmarks, ",claude-opus-4-8-analysis-2026.mdx
frankx-intelligence-ecosystem-complete-guide,The FrankX Intelligence Ecosystem: How 5 Systems Work Together to Build What Matters,2026-02-14,published_tree,Frank,Creator Systems,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/editorial/headers/frankx-intelligence-ecosystem-complete-guide-hero.webp,raster_other,True,,,,pass_heuristic,not_recorded,3305,2,0,13,5,20,audit_content_accuracy,"A complete technical guide to the FrankX creator intelligence stack — Vibe OS, GenCreator OS, ACOS v10, Starlight Intelligence System v4, and Arcanea. How they interconnect, what each does, and why th",frankx-intelligence-ecosystem-complete-guide.mdx
intelligence-revolution-2025,The Intelligence Revolution Playbook: Navigating the $10T Shift,2025-09-16,published_tree,Frank,Intelligence Economy,true,frank-or-human,Frank,2026-07-01 13:10:12 +0200,feat(email): canonicalize all contact addresses to frank@frankx.ai + /contact rewrite (#194),/images/blog/intelligence-revolution-2025.png,raster_other,True,,,,pass_heuristic,not_recorded,3125,0,0,13,5,20,audit_content_accuracy,"A practical blueprint for enterprise technologists, founders, and creators to capture value as intelligence, automation, and intentional design converge.",intelligence-revolution-2025.mdx
mistral-large-3-analysis-2026,Mistral Large 3: The 675B Open-Weight Frontier Model Europe Has Been Waiting For,2026-06-05,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-27 13:43:50 +0200,Humanize FrankX brand experience (#205),/images/blog/mistral-large-3-analysis-2026-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,2714,0,0,3,6,20,audit_content_accuracy,"Mistral Large 3 (mistral-large-2512) is a 675B/41B-active MoE released under Apache 2.0, December 2025. 256K context, $0.50/$1.50 API pricing, runs on one 8xH200 node. Verified benchmarks, EU sovereig",mistral-large-3-analysis-2026.mdx
01-ai-doesnt-have-to-be-soulless,AI Doesn't Have To Be Soulless (And Here's How I Know),2024-08-22,published_tree,Frank,AI & Creativity,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/ai-doesnt-have-to-be-soulless-hero-v8.jpg,raster_other,True,,,,pass_heuristic,not_recorded,1150,0,0,5,5,15,audit_content_accuracy,"A 15-year architect's turning point: how collaborative creation with AI revealed a path where technology amplifies human creativity, not replaces it.",01-ai-doesnt-have-to-be-soulless.mdx
