"platform","category","evidence_status","primary_use_case","public_pricing_2026","web_mobile_model","branded_app_model","visual_customization_ceiling","information_architecture_customization","api_webhooks_sdk_headless","ai_mcp_agent_integration","data_export_and_ownership","developer_account_ownership","monetization_and_fees","migration_risk","maturity","best_fit_100k_creator","verdict","primary_source_urls","last_verified"
"Circle","Hosted creator community","verified_live","Premium memberships, expert communities, courses, events","Professional $89/mo; Business $199/mo; Plus custom","Responsive web, desktop, and shared Circle iOS/Android apps","Optional managed own-brand iOS/Android apps on Circle Plus","Headless/extensible","Configurable spaces, access groups, profiles, workflows; custom front end possible through Headless Member API","Business includes Admin API and Headless Member API; 5,000 Admin API requests/mo and 100 headless MAU included; metered overages","Official Circle MCP on Business+; admin-only; Circle AI; AI agents/workflows on Plus","Bulk import/export is listed; maintain independent exports of members, content, purchases, and source media","Circle manages branded app; developer-account, bundle-ID, signing, and transfer terms must be confirmed in contract","Platform fees 2% Professional, 1% Business, 0.5% Plus, plus payment processing","Medium — good APIs and exports, but subscriptions, posts, messages, files, and mobile listing continuity need a tested exit plan","Established","Best default when the creator wants premium learning/community now and an API/headless option later","SHORTLIST — production pilot winner","https://circle.so/pricing | https://circle.so/blog/circle-mcp-use-cases | https://api.circle.so/mcp | https://circle.so/headless | https://circle.so/plus","2026-07-27"
"Mighty Networks","Hosted creator community","verified_live","Member discovery, social learning, network effects, courses","Launch $79/mo; Scale $179/mo; Mighty Pro custom","Responsive web plus shared Mighty Networks iOS/Android apps","Managed own-brand apps through Mighty Pro","Managed branded network","Unlimited spaces; configurable features, member graph, terminology, profiles, and automations; UI remains vendor-defined","Scale includes Admin API with 5,000 requests/mo; headless requests are custom/Pro territory","Official Network MCP on Scale; AI Cohost and AI automation features","Member exports and assisted migration exist; verify content, chat, event, and payment export completeness","Vendor-managed Mighty Pro submission and maintenance; obtain developer-account and listing-transfer terms in writing","Platform fees 2% Launch, 1% Scale, 0.5% Pro, plus processing","Medium — portable member data but vendor-specific network structure and managed app increase switching work","Established","Best when member-to-member discovery and social identity matter more than a tightly controlled school","SHORTLIST — social-network alternative","https://www.mightynetworks.com/pricing | https://docs.mightynetworks.com/for-hosts/analytics-and-integrations/does-mighty-networks-have-an-mcp-server | https://docs.mightynetworks.com/for-hosts/meet-mighty/what-is-mighty-pro","2026-07-27"
"Skool","Hosted creator community","verified_live","Simple paid group, classroom, calendar, and gamification","Hobby $9/mo; Pro $99/mo","Shared Skool web and mobile experience","No public dedicated own-brand app offer found","Template","Fixed group/classroom/calendar model with limited visual and navigation freedom","No public API, webhooks, SDK, or headless offer found","No official MCP found; AI agent access would rely on unsupported browser automation and is not a production architecture","Member/customer export exists at a basic level; content and interaction portability are limited","Not applicable; shared Skool product","10% transaction fee Hobby; 2.9% Pro; Skool is merchant of record for platform payments","High — low developer surface, shared brand, and limited content/interaction portability","Established","Excellent for rapid offer validation when simplicity beats brand and extensibility","CONDITIONAL — validation tool, reject as long-term custom platform","https://www.skool.com/pricing | https://help.skool.com/article/86-subscriptions-faq","2026-07-27"
"Heartbeat","Hosted creator community","verified_live","Cohorts, chat, events, accountability, and operator workflows","Build $49/mo; Grow $149/mo; Scale $849/mo","Web and shared mobile product; synchronous and asynchronous community","White-label app on Scale","Managed branded community","Configurable channels, groups, events, courses, workflows, and branding; vendor UI remains fixed","API on Grow; integrations and workflows; confirm endpoint and rate-limit coverage","Native automation/workflow layer; no official MCP found; custom agent is buildable through API on qualifying plan","API improves data access; test exports for posts, DMs, events, payments, recordings, and files","White-label app terms and developer-account ownership require written confirmation","Plan and payment-processing economics; confirm current transaction and mobile add-on terms","Medium — API exists, but chat/history and white-label app continuity need testing","Growth-stage","Strong if cohort operations, events, and chat are the core loop","CONDITIONAL SHORTLIST — cohort-first","https://www.heartbeat.chat/pricing","2026-07-27"
"GroupApp","Hosted creator learning community","verified_live","Community plus courses, library, events, landing pages, and workflows","Monthly Launch $24, Grow $64, Scale $144, Organization $384; annual-equivalent $18/$48/$108/$288","Responsive web plus shared GroupApp iOS/Android app","Own-brand App Store/Play product is documented; commercial tier and price are not clearly exposed on public pricing page","Managed white-label","Channels, landing pages, courses, library, segments, workflows, custom domain, and email white-labeling","Webhooks and custom integration support are available; the official roadmap marks Public API + MCP in progress, so no public production API entitlement should be assumed","No official MCP today; Public API + MCP is in progress on the official roadmap; do not design a production agent around an unreleased surface","Migration support is documented; test full member, content, engagement, and commerce exports","Branded-app store workflow is documented; confirm whose developer accounts, bundle IDs, signing keys, and listing transfer rights apply","0% platform transaction fee on public plans; processor fees still apply","Medium — migration support helps, but the unreleased public API/MCP and branded-app/full-content exit terms need diligence","Growth-stage","Good value when learning/community breadth and 0% platform fee matter","CONDITIONAL SHORTLIST — price/value candidate","https://www.group.app/pricing/ | https://feedback.group.app/en/roadmap | https://help.group.app/en/articles/101-download-groupapp-mobile-app | https://help.group.app/en/articles/248-groupapp-brand-identity-and-store-listing-guidelines","2026-07-27"
"Swarm","Hosted creator community","verified_live","Video-first and voice-first coaching communities","Annual-equivalent Launch $19/mo, Growth $79/mo, Scale $149/mo; monthly $29/$89/$199","Responsive web with installable mobile/desktop PWA","Scale provides a branded installable PWA; vendor explicitly says no App Store or download","Managed white-label PWA","Spaces, courses, events, video/voice, store, domain, and branding; interface is vendor-defined","API, Zapier, and SSO on Scale","Native transcription/AI on lower tiers; no official MCP found; custom agent buildable on Scale API","Vendor states video downloads and migration help; test full export of posts, member graph, payments, and events","No native store account because app is a PWA","Platform fees 10% Launch, 2% Growth, 0.5% Scale, plus processing","Medium — web portability may be acceptable; community history and PWA identity are vendor-specific","Growth-stage","Interesting when faces, voice, and video participation are the signature behavior","CONDITIONAL — differentiated, but do not score as native App Store app","https://swarm.to/pricing | https://swarm.to/ | https://help.swarm.to/billing--subscription/8ezfU9aUZ8jyWFWNv1d3kp/swarm-pricing-plans/jvyBKNaKM8p5w9RwNLzQsA","2026-07-27"
"Whop","Hosted creator community and developer platform","verified_live","Paid communities, courses, chat, livestreams, commerce, and custom embedded apps","$0 monthly; domestic cards 2.7% + $0.30; +1.5% international and +1% FX where applicable","Whop web and shared Whop mobile app; custom web and React Native experiences run inside the shell","No creator-owned standalone App Store listing; custom React Native apps run natively inside Whop mobile","Extension platform","Native courses/chat/forums/livestream plus custom experience and dashboard views; developers can build quizzes, games, tools, content libraries, and admin panels","Rich APIs, SDKs, webhooks, OAuth/OIDC, embedded chat, iframe and React Native runtimes","Official docs MCP and API MCP; agents can make direct API calls; Whop AI is also native","User and membership management/export documented; validate content/chat exports and preserve independent customer ledger","Whop owns the shared mobile shell; developer owns app code but not a creator-branded store listing","2.7% + $0.30 domestic card base; international, FX, billing, tax, affiliate, payout, and financing charges can apply","Medium — excellent API surface but identity, marketplace, payments, and mobile shell create platform dependence","Established growth platform","Best technical dark horse when custom mini-apps and commerce are more important than a standalone mobile brand","SHORTLIST — developer/commerce dark horse","https://whop.com/network/pricing/ | https://docs.whop.com/ | https://docs.whop.com/developer/guides/app-views | https://docs.whop.com/developer/guides/react-native | https://docs.whop.com/developer/guides/ai_and_mcp","2026-07-27"
"Nas.com","Creator commerce and community-adjacent","verified_live","AI-assisted creator storefront, digital products, challenges, and lightweight community","Public tiers previously surfaced at annual-equivalent Basic $6.58/mo, Pro $20.75/mo, Platinum $66.58/mo; verify current checkout","Web/mobile creator selling product","No compelling creator-owned native app path found in current public material","Configurable","Store, product, challenge, content, and feed configuration; limited custom product architecture","No sufficiently complete public developer/headless surface found for recommendation","Official hosted Nas.com MCP beta at https://mcp.nas.com/mcp over Streamable HTTP with OAuth; public onboarding plus protected business tools; documented scopes include community/product writes, and saved-card charging requires an explicit live confirmation contract; the catalog evolves dynamically, so inspect tools/list and approval-gate all writes and payments","Customer/order export expectations should be verified; preserve independent CRM and payment records","Shared product; no own developer-account proposition established","Subscription plus payment/commerce economics; verify current fees by market","Medium-high — platform center of gravity is seller/store, not portable community infrastructure","Established creator company; current product repositioning","Useful commerce experiment, not the primary custom-community core","UTILITY LAYER — not a finalist for the destination","https://nas.io/en-us/pricing | https://nas.io/blog/nas-io-to-nas-com-rebrand | https://help.nas.com/en/articles/15920831-connect-your-ai-assistant-to-nas-com-with-mcp-beta | https://nas.com/mcp","2026-07-27"
"Kinvo","Hosted AI-native creator community","watchlist_claimed_live","AI-generated paid communities, courses, events, memberships, and revenue ops","Free 50 members/12%; Build $19/mo/8%; Scale $49/mo/4%; Elite $659/mo/1%","Web product; no verified native app","No verified native branded app; white-label on Scale/Elite is web positioning","Configurable","Channels, course, events, offers, access groups, automations, and AI-generated scaffolding","API listed only on Elite; native video and affiliate features explicitly marked as not yet shipped","Native AI copilot with draft-review-apply flow; no official MCP found","Direct Stripe Connect is positive; test all exports, backups, deletion, and tenancy claims","No native app account model","Plan plus 12%/8%/4%/1% platform fee and Stripe processing; AI top-ups","Very high — new product, unproven operations, some roadmap features, and limited visible live communities","Unproven/watchlist","Only for a sandbox experiment, not a 100k-follower production migration","WATCH ONLY","https://kinvo.io/ | https://kinvo.io/pricing | https://kinvo.io/browse","2026-07-27"
"Mobieus","All-in-one community suite","watchlist_claimed_live","Forums, chat, files, LMS, help desk, wiki, marketplace, and BYO AI","Starter $19/mo/250; Pro $99/1,000; Creator $199/5,000; Creator Plus $599/25,000; Sovereign $2,500/100,000+","Claimed web/mobile-responsive multi-tenant product","Custom domain and white-label web; no independently verified own native app product","Claimed extensible","Very broad bundled IA spanning forum, learning, support, knowledge, marketplace, and community","Claims REST API, HMAC webhooks, SSO/SAML, exports, and dedicated tenancy","BYO Anthropic and native AI community-manager drafts; no official MCP documented","Claims one-click export, direct Stripe, owned data, and dedicated tenancy; must be validated technically and contractually","No native store-account model established","Claims 0% platform fee with direct Stripe; subscription prices above","Very high — unusually broad claims, limited independently verifiable customer footprint, and new operational history","Unproven/watchlist","Potential future value play only after sandbox, security review, references, and recovery/export test","WATCH ONLY","https://www.mobieus.io/","2026-07-27"
